Original_Review,Aspects,Sentiments,Empty,label
와 갓 구운 기본 휘낭시에 먹고 있는데 미친!!!! 넘 맛있어,쿠키_구움과자,긍정,,000100000000
버터소금이랑 초코 맛나요,베이커리_빵/기타_디저트,긍정/긍정,,010001000000
밀도빵값너무오름....그닥 특별한것도 없는데...,베이커리_빵/가격_가성비,부정/부정,,020000000200
분위기 너무 이쁘고 맛있어요,분위기_감성,긍정,,000000010000
뺑도맛있고 내부구조도 레트로하고 특이해요,베이커리_빵/분위기_감성,긍정/긍정,,010000010000
추천받아서 왔는데 너무 편안하고 아늑하고 좋아요. 커피 맛집이예요.,커피_음료/분위기_감성,긍정/긍정,,100000010000
집에 스키피 지프 항상 쟁여놓고 먹는 땅콩버터 처돌이로서 이런 카페 만나서 너무 반갑구요 패스츄리 호떡 아래에 꾸덕하게 깔린 피넛버터랑 바나나 조합 너무 좋아요 제 픽은 땅버 바나나 스무디!! 너무 달지도 않고 너무너무 마싯어요... 아아랑 먹으면 디저트 순삭,커피_음료/베이커리_빵,긍정/긍정,,110000000000
성수 도넛 맛집 오버도즈에 방문했습니다. 저는 4가지 도넛만 사서 테이크아웃하고 옴 우선 도넛 자체는 맛이 있어요 도넛 빵 자체가 쫄깃하고 맛도 있고 안에 크림도 가득가득 들어가 있었습니다 다만 취향에 따라 달다고 느낄 수 있고 가격대는 조금 나가는 편이긴 합니다. 사장님 친절해보였고 다음에 기회되면 우유크림 하나 사 먹어보고 싶긴 했어요,베이커리_빵/서비스/가격_가성비,긍정/긍정/부정,,010000001200
직원분들 다 친절하시고 넓어서 좋습니다!,공간_편의시설/서비스,긍정/긍정,,000000101000
"성수동에서는 더 이상 새로울 것 없는 편집샵카페. 오르에르 wxdxh보다 나을 게 없다. 기본 아메리카노 5,500으로 비싼 편이고 두 가지 선택 결과는 맛은 없다... 시장통을 방불케하는 번잡함은 평일임에도 질리게 만든다. 두번 올 일 없는 공간.",커피_음료/가격_가성비/혼잡도_웨이팅,부정/부정/부정,,200000000202
카페 분위기가 좋고 깔끔해요! 음료도 맛있고 친절하십니다!,커피_음료/분위기_감성/서비스,긍정/긍정/긍정,,100000011000
인테리어랑 컨셉이 확실하고 기여워요. 특히 할로인에 인기 많을 거 같습니다. 대화하기 조용한 곳이라 마음에 드네요. 그리고 디저트랑 커피도 맛있어요,커피_음료/분위기_감성/혼잡도_웨이팅,긍정/긍정/긍정,,100000010001
디저트에 커피만 마시려고 했다가 스무디 안 먹기에는 너무 아쉬워서 둘이 음료만 세 잔 시켰는데 후회없었어요!!! 스무디 노슈가도 충분히 달달하고 배불러요 확실히 피넛버터 꾸덕하고 꼬소하고 너무 맛있습니다,커피_음료/기타_디저트,긍정/긍정,,100001000000
수박주스 진짜 시원하고 맛나요 진짜 수박을 갈았쥬,커피_음료,긍정,,100000000000
소금빵 담백하고 맛있어요!!,베이커리_빵,긍정,,010000000000
커피 맛있어요! 공간도 엄청 멋집니다. 복잡한 성수동에서 이렇게 넓은 공간을 만나니 반갑네요,커피_음료/공간_편의시설/분위기_감성,긍정/긍정/긍정,,100000110000
친구 추천으로 왔는데 음료 너무 맛있었어요! 특히 아인슈페너랑 아이스크림 라떼 진짜 맛있네요 매장도 넓는데 시끄럽지 않은 분위기라 좋았습니다,커피_음료/공간_편의시설/혼잡도_웨이팅,긍정/긍정/긍정,,100000100001
커피도 맛있고 케이크도 맛있어요!,커피_음료/케이크,긍정/긍정,,101000000000
쿠키 가나슈 종류도 특별하고 포장도 너무 예어서 선물용으로 샀는데 딱이었어요!,쿠키_구움과자/선물_포장,긍정/긍정,,000100000010
해방촌커피 먹고싶어서 왔어요!!! 날이 좋아 야외도 너무 좋아요??,커피_음료/분위기_감성,긍정/긍정,,100000010000
아인슈페너 맛집 황금이 올라가있더라구요? 금아이슈페너야뭐야 유럽풍 분위기 커피맛도 좋고 해외에 온느낌이라 기분업 매장이 깨끗했고 공주풍느낌이라 좋았어요,커피_음료/공간_편의시설/분위기_감성,긍정/긍정/긍정,,100000110000
깔끔한 매장 맛난커피 추천받아서 방문해보았습니다.,커피_음료/공간_편의시설,긍정/긍정,,100000100000
사람이 많은 만큼 좌석도 많아요,공간_편의시설/혼잡도_웨이팅,긍정/부정,,000000100002
서울점에도 오로라카페가생겨서 좋아요주차도편하고 빵도 맛있어요,베이커리_빵/공간_편의시설,긍정/긍정,,010000100000
"와,, 여태껏 먹어 본 초코 음료 중에 역대급이었습니다,, 어쩜 이렇게 초코가 깔끔하게 단맛을 낼 수가 있죠? 역대급 초코 음료!! 분위기도 너무 좋고 힐링의 시간을 보낼 수 있는 곳!",커피_음료/분위기_감성,긍정/긍정,,100000010000
디카페인이 특히 맛있어용,커피_음료,긍정,,100000000000
"에스프레소, 파니니 다 맛있어요!!",커피_음료/베이커리_빵,긍정/긍정,,110000000000
여기 진짜 딸기디저트 맛집!! 매장 내부도 넓고 앤틱하게 꾸며져 있어서 친구들과 앉아서 수다 떨기 좋아요,공간_편의시설/분위기_감성/혼잡도_웨이팅,긍정/긍정/긍정,,000000110001
두번째 방문인데 이제야 리뷰를 쓰네요 겨울에 오기 좋은곳입니다,없음,없음,,000000000000
노을이 너무 아름다웠어요 빵도 맛있구요,베이커리_빵/분위기_감성,긍정/긍정,,010000010000
빵이 귀엽고 맛있어요,베이커리_빵,긍정,,010000000000
서울에 한동안 볼 일이 있어 울산에서 올라왔습니다. 파티쉐리 아모니 매우 맛있다고 추천을 해줘서 서울에 온 김에 일부러 택시타고 찾아갔는데 첫째 갬성적인 인테리어에 반했고 두번째는 휘낭시에와 쿠키 비주얼에 반했고 세번째는 맛에 반했습니다... 이런 고급진 맛을 내가 태어나서 먹어본 적이 있나?? 생각할 정도로 초 고퀄리티 맛이었습니다... 와이프 선물로 사갔는데 진짜... 넘 맛있다고 서울가면 또 사오라고 하네요 참 와인이랑 먹으니 넘 기가 맥히네요 담에 서울가면 또 사러 갈게요!,쿠키_구움과자/분위기_감성/선물_포장,긍정/긍정/긍정,,000100010010
대화하느라 정신 없어서 음료도 못 찍었네요 대화하기 좋고 친절해요! 깔끔합니다!,커피_음료/공간_편의시설/서비스/혼잡도_웨이팅,중립/긍정/긍정/긍정,,300000101001
너무 특이하고 맛있어요!! 분위기도 좋고 세가지 맛 다 특색있고 맛있네요,없음,긍정,,000000010000
넓고 깨끗해요 자주갈 것 같아요!,공간_편의시설,긍정,,000000100000
메론빵이 너무 궁금해서 전부터 와보고 싶었는데 이번에 왔습니다 크림이 없는데도 맛있어요 다음에 메론빵 사러 또 가야겠어용,베이커리_빵,긍정,,010000000000
주말에 벚꽃 구경하고 처음 가봤어요. 아담하고 깔끔하고 압구정 로와이드만 가봤는데 성수동도 편안하고 좋네요. 특히 다양한 빵종류가 맘에 들었어요 다 맛있어보여서 선택이 어렵더라구요. 원두 종류도 선택이 가능해서 맛있게 먹고 왔네요. 구석구석 사진찍음 다 예술이라 그 점도 좋았어요!,커피_음료/베이커리_빵/분위기_감성,긍정/긍정/긍정,,110000010000
특이한 메뉴가 있어요! 단 음료인데도 불구하고 부모님께서 좋아하세요 커피러버면 하이라인라떼 추천이요,커피_음료,긍정,,100000000000
인테리어가 예쁘고 디저트도 맛있어요건물이 커서 좌석이 많습니당,공간_편의시설/분위기_감성,긍정/긍정,,000000110000
너무 예뻐요! 내부 공간도 크리스마스 트리가 있어서 추천합니다.,분위기_감성,긍정,,000000010000
"태연이 한입베이글 방문했었어서 나중에 가봐야지 하고 마음에만 남겨두었던 곳 드디어 시간내어 가봤는데 진짜 마음에 쏙 들었다 포장도 되고 매장 이용도 가능한 곳인데 나는 매장 이용으로 했다 가게에 들어가기 전부터 밖에서 나는 빵냄새에 혼절을 해,,,, 야무지게 고르고 앉아서 한입씩 먹어보는데 진짜 다 맛있다 저중에서 최애를 고르자면 소금빵? 그리고 치즈감자인가 저 체다치즈 올라간 걸 고르겠다 쫀득하고 맛이 엄청 다양해서 맛있게 먹고 여유롭게 시간 보내기 너무 좋음!!! 주말은 모르겠지만 평일의 매장 분위기는 산뜻하고 좋았어요 화장실도 실내에 깔끔하게 구비되어 있습니다 . 서울숲에서 5분 걸으면 나오는 곳",베이커리_빵/공간_편의시설/분위기_감성,긍정/긍정/긍정,,010000110000
재재재방문! 성수 최고 파니니 맛집입니다,베이커리_빵,긍정,,010000000000
치즈케이크도 맛있고 특히 얼그레이 라떼 맛있었어요! 미국 갬성 듬뿍 이쁜 카페입니닷,커피_음료/케이크/분위기_감성,긍정/긍정/긍정,,101000010000
커피 진짜 맛있네요. 바닐라라떼 달달하고 부드러워서 기분 좋게 마셨어요. 갈 때마다 커피 맛이 일정해서 좋아요. ,커피_음료,긍정,,100000000000
그라데이슈 이거 정말 최고네요,커피_음료,긍정,,100000000000
서울숲 근처 작업하기 좋은 프렌차이즈 카페 공간도 넓은 편이고 직원분들도 친절하셨어요.,공간_편의시설/서비스,긍정/긍정,,000000101000
아이랑 왔는데 너무 맛있고 2층에 자리도 넓고 쾌적해서 너무 좋아요 !,공간_편의시설,긍정,,000000100000
선물용으로 추천해요! 먼 길 온 친구에게 들려보내기 딱인 아이템,선물_포장,긍정,,000000000010
지나가다가 가게 이뻐서 왔는데 케익이 넘 이쁘네요 아직 먹기 전인데 매장 인테리어도 감각있어요 좋은곳 발견!!,케이크/분위기_감성,긍정/긍정,,001000010000
옥수수라떼 넘 맛있어용,커피_음료,긍정,,100000000000
맛있어요. 근데 굳이 소금이 메리트 있는지는 잘 모르겠어요. 푸딩 느낌보다는 크림 느낌이었고 제 취향이라 잘 먹었어요.,기타_디저트,중립,,000003000000
추어서 급히 들어간 곳이였는데 분위기도 좋고 커피맛도 훌륭한 곳,커피_음료/분위기_감성,긍정/긍정,,100000010000
여기 빵 개존맛탱입니다 퀸아망 꼭 드십쇼,베이커리_빵,긍정,,010000000000
리치식빵 갓 나온거 구입할수 있어서 가져갑니다 아마오늘내로 다 먹을거같아요 매장은 좁지만 평일엔 웨이팅까진 없었어요,베이커리_빵/공간_편의시설/혼잡도_웨이팅,긍정/부정/긍정,,010000200001
냄새에 홀린듯이 들어왔는데 맛도 냄새만큼 좋았어요 그리고 바로바로 구워주시는건지 엄청 따뜻해서 더 맛있었어요 직원들도 친절하게 응대하시고 파이팅 넘치세요!!!! 컷팅도 해주시더라구요!! 맛도 어디서 못 먹었던 맛이라 재방문 의사 있어요 약간 미트파이느낌? 하나만 먹어도 배부르더라구요,베이커리_빵/서비스,긍정/긍정,,010000001000
성수역에서 거리는 조끔 있지만 걸어와서 들릴만 해요! 주말에는 예약하고 오는게 마음 편해요 맛있는데 또 건강한 맛이라 브런치로 딱 좋은거 같아요 샐러드랑 보리리조또 아란치니 맛있어용,베이커리_빵/혼잡도_웨이팅,긍정/중립,,010000000003
너무 재밌었오요 알바생 언니 오빠 너무 예쁘시고 너무 잘생기시고 친절하세유... 재방문할거에요!! 처음오시면 캔버스에 그리는거 추천할게요.. 일반 종이는 사이즈가 진짜 커서 시간이 부족해유... 그래도 시간 순삭이여서 시간 가는지도 모르고 그렸답미댜..,공간_편의시설/서비스,부정/긍정,,000000201000
항상 친절하세요 매장 넓고 깨끗해요,공간_편의시설/서비스,긍정/긍정,,000000101000
베이커리 포장해서 지인들 선물해 줬는데 맛있다고 좋아했어요!!,베이커리_빵/선물_포장,긍정/긍정,,010000000010
평점이 좋아서 들렸는데 평점높던 깜파뉴도 soso했어요. 보통맛. .평범한거에 비해 가격대가 좀높네요. 빨미까레가 초코렛땜에 제일 나았어요,베이커리_빵/쿠키_구움과자/가격_가성비,중립/긍정/부정,,030100000200
생크림 케이크 진짜 맛있어요,케이크,긍정,,001000000000
언제나 먹어도 맛있는 우리동네 빵맛집입니다 오늘도 한입합니다,베이커리_빵,긍정,,010000000000
분위기가 너무 좋습니다 추천받아 서울숲까지 찾아왔는데.. 기분좋은 시간이네요,분위기_감성,긍정,,000000010000
지인 생일이여서 축하케이크로 주문했어요! 맛있게 먹겠습니다,케이크,긍정,,001000000000
알려주신 순서대로 먹었는데 넘 맛있어요. 그라니따 취저에요,커피_음료,긍정,,100000000000
이국적인 분위기 카페 너무 좋아요.. 일단 파이 종류가 많아가지구 뭐먹을지 고민하는 시간조차 행복했어요 초코류 좋아하시는분들 취저인 티라미슈부터 다양한 과일종류도 있어서 좋아하시는 거 골라서 먹으면 너무 좋을 듯해요! 그리고 개인적으로 그림치즈가 너무 부드럽고 맛있어서 담에 또 먹구싶어요,케이크/분위기_감성,긍정/긍정,,001000010000
망고도 맛있고 빙수 양도 엄청 많았어요!! 더운날 시원하게 잘 먹고 갑니당,빙수_과일,긍정,,000010000000
딸기 케이크가 맛있어보여서 성수 온김에 포장하러 갔습니다!!! 직원분들도 다 착하시고 매장 분위기도 괜찮은 거 같아서 다음번엔 매장에서 시식해보려구욯 조각케이크랑 보틀케이크 포장해서 조각케이크는 집 오자마자 먹어봤는데 제 입맛에 완전 취저 달달하고 부드러워서 또 먹고 싶어지더라구요 보틀은 남자친구 줬는데 아주 맛나다고 하네요,케이크/분위기_감성/서비스/선물_포장,긍정/긍정/긍정/긍정,,001000011010
성수 오로라 올만에 들렸네요 곰돌이 빵 넘 귀여워요!! 곰돌이카노도 완전 귀여워요,커피_음료/베이커리_빵,긍정/긍정,,110000000000
맛있어요 분위기도 좋고 조용해서 대화나누기도 좋고 예뻐요,분위기_감성/혼잡도_웨이팅,긍정/긍정,,000000010001
롯데월드몰에서 먹었는데 맛있어요 다들 줄 서있어서 뭔가 했는데 아이스크림이 진하고 맛있네요,기타_디저트/혼잡도_웨이팅,긍정/부정,,000001000002
수플레가 먹고싶어서 젠젠 성수점에 왔어요!! 팬케이크 너무너무 맛있고 다음에 친구랑 또 오기로 했어요 직원분들도 친절하시고 평일 3시쯤에 오니까 웨이팅도 없고 좋았습니다!! D 성수에서 디저트 먹고싶으시면 오세용!! 추천합니당,케이크/서비스/혼잡도_웨이팅,긍정/긍정/긍정,,001000001001
명장님 빵 넘넘 맛있어요 행사중 너무저렴하게 먹어 죄송할정도,베이커리_빵/가격_가성비,긍정/긍정,,010000000100
성수동에 올때마다 들른 카페인데 커피가 정말 맛있구 분위기가 모던하고 멋져요 피칸파이는 올때마다 커피랑 같이 먹게 되네요 오늘도 기분 만땅충전하고 갑니다,커피_음료/베이커리_빵/분위기_감성,긍정/긍정/긍정,,110000010000
아이들이 앞에서 놀수도 있어서 귣이 요기로 왔어요 밖에서 힐링하기 딱 좋아요 아이들이랑 또 올꺼예요,공간_편의시설/분위기_감성,긍정/긍정,,000000110000
피넛버터 사려고 왔는데 공간이 너무 좋아요!!,공간_편의시설,긍정,,000000100000
성수브릭라떼와 코랄프룻에이드 그리고 무화과 타르트... 대존맛!!!,커피_음료/케이크,긍정/긍정,,101000000000
직원 분도 친절하시고 색다른 체험이라 좋았어요!,서비스,긍정,,000000001000
망고 빙수 자리가 좀 애매하긴 한데 너무 더운날 걷다가 들어와서 시원하고 좋았습니다.,빙수_과일/공간_편의시설,긍정/부정,,000010200000
남자친구랑 왔는데 너무 맛있어요,없음,긍정,,000000000000
진동벨이 있으면 좋을 것 같아요 이름불러주시는데 진짜 잘 안들려요..,공간_편의시설,부정,,000000200000
매장 분위기도 너무 좋고 커피와 파이도 너무 맛있어서 만족하고 왔습니다,커피_음료/베이커리_빵/분위기_감성,긍정/긍정/긍정,,110000010000
인테리어가 멋있고 케이크가 특히 맛있었습니다!!,케이크/분위기_감성,긍정/긍정,,001000010000
캐치테이블로 미리 예약하고 와서 오래 기다리진 않았어요! 케익 비주얼과 맛이 너무 좋은데 가격이 좀 슬프네요,케이크/가격_가성비/혼잡도_웨이팅,긍정/부정/긍정,,001000000201
친구 추천으로 와봤는데 너무 친절하시구 맛도..진차 맛도리,서비스,긍정,,000000001000
매장 깔끔하고 커피맛 좋았습니다.,커피_음료/공간_편의시설,긍정/긍정,,100000100000
혼자 카공하러 왔는데 좋아요!,공간_편의시설,긍정,,000000100000
양도 많고 너무 맛있어요,가격_가성비,긍정,,000000000100
레몬 케이크 포장했는데 디자인도 예쁘고 너무 맛있어요다음에 또 이용하려합니다,케이크/선물_포장,긍정/긍정,,001000000010
분위기 좋고 커피가 너무 맛있어요. 재방문 의사 있어요.,커피_음료/분위기_감성,긍정/긍정,,100000010000
음료가 맛있고 카페도 예뻐용,커피_음료/분위기_감성,긍정/긍정,,100000010000
무난함 그러나 친절해요,서비스,긍정,,000000001000
"바로 주변에 밀크셰이크 9천원에 파는 곳에 화들짝 놀라서 방황하다가 들어왔는데 여기는 그래도 좀 말이 되는 가격. 소금빵 맛집이라고 많이들 사가는듯. 라즈베리 케이크 맛있었어요. 싫었던 점 빵, 케이크들이 다 공기중에 오픈되어 있음. 윽 먼지랑 바이러스 다 표면에 붙었겠지 게다가 사람들이 제일 많이 지나다니고 사람들이 접시 반환하는 카드 계산대 바로밑에 빵들이 무방비하게 디스플레이되어 있음 유리 케이스라도 씌워주시면 안되나요.",베이커리_빵/케이크/공간_편의시설/가격_가성비,부정/긍정/부정/긍정,,021000200100
정말 날 좋은날 앉아서 멍하니 있으면 행복이 이런것이구나 하고 느껴지는 카페입니다..정말 카페가 너무 이쁘고 맛도 있습니다 성수 여유로움과 행복함을 느끼고 싶으면 강추 합니다,분위기_감성,긍정,,000000010000
"친구랑 평일에 방문했는데 너무 쾌적하고 넓고 빵 종류도 많아서 너무 좋아요. 빵도 맛있고, 음료도 맛있어요",커피_음료/베이커리_빵/공간_편의시설,긍정/긍정/긍정,,110000100000
핫한곳이라고 해서 와봤는데 도넛들이 너무 예쁘고 맛없없 조합이에요,기타_디저트,긍정,,000001000000
비가와서 웨이팅 없이 구매 달지않고 담백하게 맛있네요 픽 클래식,혼잡도_웨이팅,긍정,,000000000001
흑임자 빙수 짱 !!!! 넘 고소하고 맛있숨이다 커피도 짱짱,커피_음료/빙수_과일,긍정/긍정,,100010000000
바스크치즈케이크 인생 맛집이에요 바치케 정말 좋아해서 자주 먹는데 여기는 밀가루를 안 넣고 어쩜 이렇게 맛있게 만드시는지디저트에 감동하고 갑니당 총총총,케이크,긍정,,001000000000
"블루베리 페스트리 너무나 맛있어요. 곁들이는 크림 역시 너무 달지 않고 전반적으로 밸런스가 잘 잡힌, 훌륭한 맛입니다. 오우드는 매일 도장깨기 하는 맛이 있어요. 한동안 모든 메뉴 다 먹어보려고요!!",베이커리_빵,긍정,,010000000000
뚝섬역 바로 근처라 찾아가기 쉬웠어요. 무엇보다 다양한 커피 메뉴가 있어서 커피 좋아하시는 분들에게 꼭 추천하고 싶은 카페였네요. 성수에서는 비교적 늦게까지 하는 곳이라 심야 카페 찾으시는 분들에게도 추천합니다! 2층에 단체석이 있어서 단체로 앉을 수 있는 자리 찾는다면 성수 골목길 카페중에서는 여기밖에 없을거에요,커피_음료/공간_편의시설,긍정/긍정,,100000100000
특별한 디저트가 있는 곳. 한식 재료를 이용한 디저트가 독특하고 고급져요.,기타_디저트,긍정,,000001000000
망고빙수 진짜 가성비 맞네요 정말 맛있습니다 꼭 오세요! 후회 안합니다,빙수_과일/가격_가성비,긍정/긍정,,000010000100
베이글은 여기가 최고예요 주문 시스템은 별로지만 맛있어서 또가고싶어요,베이커리_빵/서비스,긍정/부정,,010000002000
결혼하고 첫 생일이라 의미있는 케이크로 주문했습니다 너무 친절하고 케이크도 맛나서 다음에는 카페 방문하러 다시 오겠습니다!!,케이크/서비스,긍정/긍정,,001000001000
성수데이뚜 왔다가 발견한 곳! 분위기도 좋고 위스키 아이스크림도 너무 맛있어요 성수데이트 오신다면 강추!!!,기타_디저트/분위기_감성,긍정/긍정,,000001010000
성수동 최애 비건 맛집 아사이볼도 넘 맛있는데 오늘 먹은 당근컵케이크는 완전 촉촉 그자체요가하기 전에 먹으면 속도 든든하고 기분이 좋아집니다,케이크/기타_디저트,긍정/긍정,,001001000000
"에티오피아 구지 함벨라 고로 워시드 원두를 선택했고, 레몬그라스와 복숭아 뉘앙스가 인상적이었습니다.",커피_음료,긍정,,100000000000
식빵이랑 크림치즈 포장했어요 특별한 메뉴와 인테리어 분위기도 좋고 베이커리도 넘 맛있어요,베이커리_빵/분위기_감성/선물_포장,긍정/긍정/긍정,,010000010010
"메뉴 하나하나 다 맛있어요 콩포트랑 잼이 다양하게 있어서 자주 사러 오는데, 직원분들도 너무 친절하시고 좋아요",서비스,긍정,,000000001000
매장도 넓고 맛있어요,공간_편의시설,긍정,,000000100000
길 가다가 즉흥적으로 들어왔는데 넘 맛잇어용,없음,없음,,000000000000
성스 놀러와서 먹었는데 맛있네요,없음,없음,,000000000000
분위기도 좋고 맛도 있고 사장님도 친절하셔서 정말 좋았습니다,분위기_감성/서비스,긍정/긍정,,000000011000
느무느무 맛있어요 잠봉뵈르 무화과 최고,베이커리_빵,긍정,,010000000000
추석 연휴기간에 다녀온 대림창고는 주말보다 덜 붐비고 한산해서 비교적 조용히 시간 보내다가 올 수 있었네요. 널찍한 공간과 옛 느낌이 나면서도 현대적인 미술품이 잘 어울리는 곳입니다. 커피는 산미와 발란스가 균형잡혀 맛있었고 디저트는 저녁이라 인기 메뉴는 빠진거 같았어요. 오전 오후에 가면 맛있는 디저트도 맛볼수 있었을텐데,커피_음료/공간_편의시설/분위기_감성/혼잡도_웨이팅,긍정/긍정/긍정/긍정,,100000110001
베이글 종류도 많고 늘 먹는데 최고 구글평점 1위 답네요 강추,베이커리_빵,긍정,,010000000000
크로플 진짜 찐맛집이네요.. 평소에 크로플 너무 좋아해서 맨날 찾아다니면서 먹었는데 여기 크로플은 겉바속촉에 너무 맛있네요 정말!!인테리어도 엄청 힙하고 완전 통유리창에 사진 찍기에도 넘 좋아효 사진 진짜 엄청 많이 찍고 왔네요... 완전 인스타 사진맛집!! 사진 몇십장 찍고 인스타 올리는데 사진 분위기 장난 아닙니다 !!,기타_디저트/분위기_감성,긍정/긍정,,000001010000
주말에 이용했어요. 두시간동안 색칠은 역시 무리네요. 그래도 재밌어요!,공간_편의시설,긍정,,000000100000
미쳤어요 이렇게맛있을수가 짱이네요 굿굿,없음,없음,,000000000000
"젤라또 맛집이네요! 소금 올리브 젤라또라는 메뉴가 있어 시켜봤는데 너무 매력적이고 고급스러워요 완전 추천! 날이 좋아서 테라스 자리에 앉아서 더 좋았네요! 갑자기 웨이팅이 엄청 늘어나던데, 나이스 타이밍에 잘 즐기고 갑니다",기타_디저트/공간_편의시설/혼잡도_웨이팅,긍정/긍정/부정,,000001100002
반려견과 함께 커피 마실 수있는 곳이에요 브런치 맛있고 애견용 메뉴도 다양합니다,공간_편의시설,긍정,,000000100000
아웅 체다앤올리 져리퐁라떼 넘 맛있었어요 굿굿 인스타 갬성이에용,커피_음료/분위기_감성,긍정/긍정,,100000010000
성수 올 때 마다 들려요,없음,없음,,000000000000
딸기메뉴가 너무맛있어요! 음악도 좋고 사장님도 친절하세요 평소에 웨이팅있는 거 몇 번 봤는데 평일 낮에 오니 줄 없이 들어올 수 있어서 좋았어요!,빙수_과일/분위기_감성/서비스/혼잡도_웨이팅,긍정/긍정/긍정/긍정,,000010011001
크림치즈 라떼의 치즈폼이 짭쪼롬하면서도 진득한 것이 너무 맛있어요. 레몬 칵테일은 상큼한 레몬맛이 기분좋게 만들어줍니다. 베리 치글은 빵이 아닌 치즈케이크라는 것이 신기한데 엄청 꾸덕꾸덕한 식감이 너무 좋았고 상큼한 베리 크림치즈를 잔뜩 올려먹으면 훨씬 더 맛있습니다. 치글은 선물하기에도 좋을듯.,커피_음료/케이크/선물_포장,긍정/긍정/긍정,,101000000010
봄날씨에 딱인 카페입니당 햇살이 계속 들어서 분위기 너무 좋아요 커피도 맛있어요 배지도 넘 귀욥,커피_음료/분위기_감성,긍정/긍정,,100000010000
초당옥수수라떼 신기했어요 음료 다양해요!,커피_음료,긍정,,100000000000
에스프레소 5000원,커피_음료/가격_가성비,중립/중립,,300000000300
커피도 맛잇고 조각케잌도 맛잇습니다.,커피_음료/케이크,긍정/긍정,,101000000000
"사장님도 친절하시고 음료수, 디저트 다 맛있엇어요 완전 추천드립니다 꼭 가보세요!!!!!!",커피_음료/서비스,긍정/긍정,,100000001000
와 인테리어 너무 예뻐요 음료랑 디저트도 다 맛있네요 성수에 이런 예쁜데 우연히 찾아서 자리 없을 줄 알았는데 테라스 자리에서 채광 받으면서 수다떠니까 좋아요,커피_음료/공간_편의시설/분위기_감성,긍정/긍정/긍정,,100000110000
친구생일이라 생일 레터링케익 주문했어요 실제로 받아보니 사진보다 예쁘고 맛도 너무 좋아요 케익으로 생일기념 축하 잘 했어요 디어벌스데이 추천합니다 다음에 와서 커피랑 다른 케익도 맛보고 싶네요,케이크,긍정,,001000000000
조용하고 공간도 넓어서 좋았어요! 커피도 맛있습니다,커피_음료/공간_편의시설/혼잡도_웨이팅,긍정/긍정/긍정,,100000100001
케이크 비주얼이 미쳤어요..!! 근데 맛도 미쳤어요...!! 카페 내부가 좀 협소하긴 한데 분위기가 너무 예쁘고 좋아요,케이크/공간_편의시설/분위기_감성,긍정/부정/긍정,,001000210000
재미있는 쿠킹이어써요. 휘낭시에 마있네요!,쿠키_구움과자,긍정,,000100000000
카페가 너무 아기자기하고 예뻐요 !,분위기_감성,긍정,,000000010000
으아 매장 겁내시원하고 커피 나쁘지않아요. 커피가 맛이 기울지않고 모난데가 없어 양도 딱 적당해서 즐기기 좋음,커피_음료/공간_편의시설,긍정/긍정,,100000100000
경북 경산에서 일부러 찾아서 가는 곳 처음으로 리뷰를 써봅니다. 택배도 가능하지만 빵집 분위기와 빵냄새를 맡고 싶어서 간간히 갑니다 사장님도 직원분들도 너무너무 친절하시고 빵도 너무 맛있고 먹어도 먹어도 찾게되는 맛이고 주변지인들한테도 짱짱 많이 추천합니다 한번 먹으면 잊을 수 없는 그맛!! 별 다섯개도 모자라는 이곳!! 빵을 좋아하는 사람들이라면 꼭 가봐야 하는 플레이스!! 완전 강추!!,베이커리_빵/분위기_감성/서비스,긍정/긍정/긍정,,010000011000
처음 위스키를 접하시는 분들께 거부감 없이 먹기 좋은 것 같아요 분위기도 고즈넉하고 좋아요,분위기_감성,긍정,,000000010000
인테리어 이뿨용 맛있어욥,분위기_감성,긍정,,000000010000
"외쿡분위기 성수 브런치 날씨 좋은날 브런치 하기 좋아여 무화과랑 아보카도 샌드위치는 색다르면서도 맛나고, 연어스테이크는 쪼곰 짭잘했어요 오픈하자마자 자리가 꽉 차니, 예약필수!!",베이커리_빵/분위기_감성/혼잡도_웨이팅,긍정/긍정/부정,,010000010002
코스트코 빵이랑 머가 틀리지 ? 차라리 코스트코 크로와상이 훨 부드럽고바삭하고 더 고소했다 1인씩 매장들어가서 구매하는 방식이라 줄을 서눈 거였음.. 저런 빵을 7천원에 팔다니.... 좀 뜯어먹다 버림,베이커리_빵/가격_가성비/혼잡도_웨이팅,부정/부정/부정,,020000000202
탐블러 예뻐요 가방에 넣을 수 있으면 더 좋을텐데,선물_포장,중립,,000000000010
재밌어요 새로운 경험이였어요 그림도 엄청 크고 원하는대로 색칠하고 재밌었네요 무엇보다 물감을 새 물감으로 제공해서 놀랐습니다,공간_편의시설,긍정,,000000100000
"우연히 들어간 퀘스토 젤라또 인테리어도 너무 예쁘고, 조용하고, 젤라또 자체도 맛있어요! 다음에 다른 맛 먹으러 또 오는걸로",기타_디저트/분위기_감성/혼잡도_웨이팅,긍정/긍정/긍정,,000001010001
역 바로 앞이라 접근 좋아요,공간_편의시설,긍정,,000000100000
성수동 공부작업하기 좋은 카페 같아요!! 금요일 저녁 방문하였는데 그렇게 시끄럽지도 않고 친구랑 카공하다 왔습니당 시그니처인 샤케라또도 맛있었어요,커피_음료/공간_편의시설/혼잡도_웨이팅,긍정/긍정/긍정,,100000100001
